0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexión pura y-y.,,,Compresión pura.,,,
,G,h,b,tw,tf,r,A,hi,d,FI,Pmin,Pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z,iz,Ss,It,Iwx10-3,S235,S355,S460,S235,S355,S460,
,kg/m,mm,mm,mm,mm,mm,cm2,mm,mm,,mm,mm,m2/m,m2/t,cm4,cm3,cm3,cm,cm2,cm4,cm3,cm3,cm,mm,cm4,cm6,,,,,,,
IPE_A_100,6.9,98,55,3.6,4.7,7,8.78,88.6,74.6,-,-,-,0.4,57.57,141.2,28.81,32.98,4.01,4.44,13.12,4.77,7.54,1.22,21.2,0.77,0.28,1,1,-,1,1,-,
IPE_100,8.1,100,55,4.1,5.7,7,10.32,88.6,74.6,-,-,-,0.4,49.33,171,34.2,39.41,4.07,5.08,15.92,5.79,9.15,1.24,23.7,1.2,0.35,1,1,-,1,1,-,
IPE_A_120,8.7,117.6,64,3.8,5.1,7,11.03,107.4,93.4,-,-,-,0.47,54.47,257.4,43.77,49.87,4.83,5.41,22.39,7,10.98,1.42,22.2,1.04,0.71,1,1,-,1,1,-,
IPE_120,10.4,120,64,4.4,6.3,7,13.21,107.4,93.4,-,-,-,0.48,45.82,317.8,52.96,60.73,4.9,6.31,27.67,8.65,13.58,1.45,25.2,1.74,0.89,1,1,-,1,1,-,
IPE_A_140,10.5,137.4,73,3.8,5.6,7,13.39,126.2,112.2,-,-,-,0.55,52.05,434.9,63.3,71.6,5.7,6.21,36.42,9.98,15.52,1.65,23.2,1.36,1.58,1,1,-,1,2,-,
IPE_140,12.9,140,73,4.7,6.9,7,16.43,126.2,112.2,-,-,-,0.55,42.7,541.2,77.32,88.34,5.74,7.64,44.92,12.31,19.25,1.65,26.7,2.45,1.98,1,1,-,1,1,-,
IPE_A_160,12.7,157,82,4,5.9,9,16.18,145.2,127.2,-,-,-,0.62,48.7,689.3,87.81,99.09,6.53,7.8,54.43,13.27,20.7,1.83,26.34,1.96,3.09,1,1,-,1,3,-,
IPE_160,15.8,160,82,5,7.4,9,20.09,145.2,127.2,-,-,-,0.62,39.47,869.3,108.7,123.9,6.58,9.66,68.31,16.66,26.1,1.84,30.34,3.6,3.96,1,1,-,1,1,-,
IPE_A_180,15.4,177,91,4.3,6.5,9,19.58,164,146,M10,48,48,0.69,45.15,1063,120.1,135.3,7.37,9.2,81.89,18,27.96,2.05,27.84,2.7,5.93,1,1,-,2,3,-,
IPE_180,18.8,180,91,5.3,8,9,23.95,164,146,M10,48,48,0.7,37.13,1317,146.3,166.4,7.42,11.25,100.9,22.16,34.6,2.05,31.84,4.79,7.43,1,1,-,1,2,-,
IPE_O_180+,21.3,182,92,6,9,9,27.1,164,146,M10,50,50,0.71,33.12,1505,165.4,189.1,7.45,12.7,117.3,25.5,39.91,2.08,34.54,6.76,8.74,1,1,-,1,1,-,
IPE_A_200,18.4,197,100,4.5,7,12,23.47,183,159,M10,54,58,0.76,41.49,1591,161.6,181.7,8.23,11.47,117.2,23.43,36.54,2.23,32.56,4.11,10.53,1,1,-,2,4,-,
IPE_200,22.4,200,100,5.6,8.5,12,28.48,183,159,M10,54,58,0.77,34.36,1943,194.3,220.6,8.26,14,142.4,28.47,44.61,2.24,36.66,6.98,12.99,1,1,-,1,2,-,
IPE_O_200+,25.1,202,102,6.2,9.5,12,31.96,183,159,M10,56,60,0.78,31.05,2211,218.9,249.4,8.32,15.45,168.9,33.11,51.89,2.3,39.26,9.45,15.57,1,1,-,1,1,-,
IPE_A_220,22.2,217,110,5,7.7,12,28.26,201.6,177.6,M12,60,62,0.84,38.02,2317,213.5,240.2,9.05,13.55,171.4,31.17,48.49,2.46,34.46,5.69,18.71,1,1,-,2,4,-,
IPE_220,26.2,220,110,5.9,9.2,12,33.37,201.6,177.6,M12,60,62,0.85,32.36,2772,252,285.4,9.11,15.88,204.9,37.25,58.11,2.48,38.36,9.07,22.67,1,1,-,1,2,-,
IPE_O_220+,29.4,222,112,6.6,10.2,12,37.39,201.6,177.6,M10,58,66,0.86,29.24,3134,282.3,321.1,9.16,17.66,239.8,42.83,66.91,2.53,41.06,12.27,26.79,1,1,-,1,2,-,
IPE_A_240,26.2,237,120,5.2,8.3,15,33.31,220.4,190.4,M12,64,68,0.92,35.1,3290,277.7,311.6,9.94,16.31,240.1,40.02,62.4,2.68,39.37,8.35,31.26,1,1,-,2,4,-,
IPE_240,30.7,240,120,6.2,9.8,15,39.12,220.4,190.4,M12,66,68,0.92,30.02,3892,324.3,366.6,9.97,19.14,283.6,47.27,73.92,2.69,43.37,12.88,37.39,1,1,-,1,2,-,
IPE_O_240+,34.3,242,122,7,10.8,15,43.71,220.4,190.4,M12,66,70,0.93,27.17,4369,361.1,410.3,10,21.36,328.5,53.86,84.4,2.74,46.17,17.18,43.68,1,1,-,1,2,-,
IPE_A_270,30.7,267,135,5.5,8.7,15,39.15,249.6,219.6,M16,70,72,1.04,33.75,4917,368.3,412.5,11.21,18.75,358,53.03,82.34,3.02,40.47,10.3,59.51,1,1,-,3,4,-,
IPE_270,36.1,270,135,6.6,10.2,15,45.95,249.6,219.6,M16,72,72,1.04,28.86,5790,428.9,484,11.23,22.14,419.9,62.2,96.95,3.02,44.57,15.94,70.58,1,1,-,2,3,-,
IPE_O_270+,42.3,274,136,7.5,12.2,15,53.84,249.6,219.6,M16,72,72,1.05,24.88,6947,507.1,574.6,11.36,25.23,513.5,75.51,117.7,3.09,49.47,24.9,87.64,1,1,-,1,2,-,
IPE_A_300,36.5,297,150,6.1,9.2,15,46.53,278.6,248.6,M16,72,86,1.16,31.65,7173,483.1,541.8,12.42,22.25,519,69.2,107.3,3.34,42.07,13.43,107.2,1,2,-,3,4,-,
IPE_300,42.2,300,150,7.1,10.7,15,53.81,278.6,248.6,M16,72,86,1.16,27.46,8356,557.1,628.4,12.46,25.68,603.8,80.5,125.2,3.35,46.07,20.12,125.9,1,1,-,2,4,-,
IPE_O_300+,49.3,304,152,8,12.7,15,62.83,278.6,248.6,M16,74,88,1.17,23.81,9994,657.5,743.8,12.61,29.05,745.7,98.12,152.6,3.45,50.97,31.06,157.7,1,1,-,1,3,-,
IPE_A_330,43,327,160,6.5,10,18,54.74,307,271,M16,78,96,1.25,29.09,10230,625.7,701.9,13.67,26.99,685.2,85.64,133.3,3.54,47.59,19.57,171.5,1,1,-,3,4,-,
IPE_330,49.1,330,160,7.5,11.5,18,62.61,307,271,M16,78,96,1.25,25.52,11770,713.1,804.3,13.71,30.81,788.1,98.52,153.7,3.55,51.59,28.15,199.1,1,1,-,2,4,-,
IPE_O_330+,57,334,162,8.5,13.5,18,72.62,307,271,M16,80,98,1.27,22.24,13910,833,942.8,13.84,34.88,960.4,118.6,185,3.64,56.59,42.15,245.7,1,1,-,1,3,-,
IPE_A_360,50.2,357.6,170,6.6,11.5,18,63.96,334.6,298.6,M22,86,88,1.35,26.91,14520,811.8,906.8,15.06,29.76,944.3,111.1,171.9,3.84,50.69,26.51,282,1,1,-,4,4,-,
IPE_360,57.1,360,170,8,12.7,18,72.73,334.6,298.6,M22,88,88,1.35,23.7,16270,903.6,1019,14.95,35.14,1043,122.8,191.1,3.79,54.49,37.32,313.6,1,1,-,2,4,-,
IPE_O_360+,66,364,172,9.2,14.7,18,84.13,334.6,298.6,M22,90,90,1.37,20.69,19050,1047,1186,15.05,40.21,1251,145.5,226.9,3.86,59.69,55.76,380.3,1,1,-,1,3,-,
IPE_A_400,57.4,397,180,7,12,21,73.1,373,331,M22,94,98,1.46,25.51,20290,1022,1144,16.66,35.78,1171,130.1,202.1,4,55.6,34.79,432.2,1,1,-,4,4,-,
IPE_400,66.3,400,180,8.6,13.5,21,84.46,373,331,M22,96,98,1.47,22.12,23130,1156,1307,16.55,42.69,1318,146.4,229,3.95,60.2,51.08,490,1,1,-,3,4,-,
IPE_O_400+,75.7,404,182,9.7,15.5,21,96.39,373,331,M22,96,100,1.48,19.57,26750,1324,1502,16.66,47.98,1564,171.9,269.1,4.03,65.3,73.1,587.6,1,1,-,2,3,-,
IPE_A_450,67.2,447,190,7.6,13.1,21,85.55,420.8,378.8,M24,100,102,1.6,23.87,29760,1331,1494,18.65,42.26,1502,158.1,245.7,4.19,58.4,45.67,704.9,1,1,-,4,4,-,
IPE_450,77.6,450,190,9.4,14.6,21,98.82,420.8,378.8,M24,100,102,1.61,20.69,33740,1500,1702,18.48,50.85,1676,176.4,276.4,4.12,63.2,66.87,791,1,1,-,3,4,-,
IPE_O_450+,92.4,456,192,11,17.6,21,117.7,420.8,378.8,M24,102,104,1.62,17.56,40920,1795,2046,18.65,59.4,2085,217.2,341,4.21,70.8,109,997.6,1,1,-,2,4,-,
IPE_A_500,79.4,497,200,8.4,14.5,21,101.1,468,426,M24,100,112,1.74,21.94,42930,1728,1946,20.61,50.41,1939,193.9,301.6,4.38,62,62.78,1125,1,1,-,4,4,-,
IPE_500,90.7,500,200,10.2,16,21,115.5,468,426,M24,102,112,1.74,19.23,48200,1928,2194,20.43,59.87,2142,214.2,335.9,4.31,66.8,89.29,1249,1,1,1,3,4,4,HI
IPE_O_500+,107,506,202,12,19,21,136.7,468,426,M24,104,114,1.76,16.4,57780,2284,2613,20.56,70.21,2622,259.6,408.5,4.38,74.6,143.5,1548,1,1,1,2,4,4,HI
IPE_A_550,92.1,547,210,9,15.7,24,117.3,515.6,467.6,M24,106,122,1.88,20.36,59980,2193,2475,22.61,60.3,2432,231.6,361.5,4.55,68.52,86.53,1710,1,1,-,4,4,-,
IPE_550,106,550,210,11.1,17.2,24,134.4,515.6,467.6,M24,110,122,1.88,17.78,67120,2441,2787,22.35,72.34,2668,254.1,400.5,4.45,73.62,123.2,1884,1,1,1,4,4,4,HI
IPE_O_550+,123,556,212,12.7,20.2,24,156.1,515.6,467.6,M24,110,122,1.89,15.45,79160,2847,3263,22.52,82.69,3224,304.2,480.5,4.55,81.22,187.5,2302,1,1,1,2,4,4,HI
IPE_A_600,108,597,220,9.8,17.5,24,137,562,514,M27,114,118,2.01,18.72,82920,2778,3141,24.6,70.14,3116,283.3,442.1,4.77,72.92,118.8,2607,1,1,-,4,4,-,
IPE_600,122,600,220,12,19,24,156,562,514,M27,116,118,2.02,16.45,92080,3069,3512,24.3,83.78,3387,307.9,485.6,4.66,78.12,165.4,2846,1,1,1,4,4,4,HI
IPE_O_600+,154,610,224,15,24,24,196.8,562,514,M27,118,122,2.05,13.24,118300,3879,4471,24.52,104.4,4521,403.6,640.1,4.79,91.12,318.1,3860,1,1,1,2,4,4,HI
IPE_750x147,147,753,265,13.2,17,17,187.5,719,685,M27,104,164,2.51,17.06,166100,4411,5110,29.76,105.4,5289,399.2,630.8,5.31,67.12,161.5,7141,1,1,-,4,4,-,
IPE_750x173+,173,762,267,14.4,21.6,17,221.3,718.8,684.8,M27,104,166,2.53,14.58,205800,5402,6218,30.49,116.4,6873,514.9,809.9,5.57,77.52,273.6,9391,1,1,1,4,4,4,HI
IPE_750x196+,196,770,268,15.6,25.4,17,250.8,719.2,685.2,M27,106,166,2.55,12.96,240300,6241,7174,30.95,127.3,8175,610.1,958.8,5.71,86.32,408.9,11290,1,1,1,4,4,4,HI
