Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,OD,bf,bfdet,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,Ht/t,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Qs,Iw,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,OD,bf,bfdet,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,Ht/t,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(α),Qs,Iw / 106,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB
C,C8X11.5,C8X11.5,F,11.5,3.37,8.00,8      ,–,–,2.26,2  1/4 ,–,–,0.220,  1/4 ,  1/8 ,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.572,–,0.697,0.211,–,–,5.79,30.0,–,–,32.5,9.63,8.14,3.11,1.31,1.57,0.775,0.623,–,–,–,0.130,16.5,–,5.11,1.34,0.855,0.430,3.03,4.79,3.41,0.862,–,–,–,–,–,–,–,–,–,0.756,7.61,–,–,C200X17.1,C200X17.1,17.1,2170,203,203,–,–,57.4,57.2,–,–,5.59,6.35,3.18,9.91,9.52,–,–,–,23.8,23.8,–,14.5,–,17.7,5.36,–,–,5.79,30.0,–,–,13.5,158,133,79.0,0.545,25.7,12.7,15.8,–,–,–,54.1,4.43,–,3300,0.558,0.356,0.179,49.7,78.5,86.6,0.862,–,–,–,–,–,–,–,–,–,19.2,193,–,–
C,C7X14.75,C7X14.75,F,14.75,4.33,7.00,7      ,–,–,2.30,2  1/4 ,–,–,0.419,  7/16,  1/4 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.532,–,0.441,0.309,–,–,6.28,13.5,–,–,27.2,9.75,7.78,2.51,1.37,1.63,0.772,0.561,–,–,–,0.267,13.1,–,4.78,1.26,1.00,0.498,2.28,4.85,2.75,0.875,–,–,–,–,–,–,–,–,–,0.738,6.63,–,–,C180X22,C180X22,22.0,2790,178,178,–,–,58.4,57.2,–,–,10.6,11.1,6.35,9.30,9.52,–,–,–,22.2,22.2,–,13.5,–,11.2,7.85,–,–,6.28,13.5,–,–,11.3,160,127,63.8,0.570,26.7,12.7,14.2,–,–,–,111,3.52,–,3080,0.524,0.416,0.207,37.4,79.5,69.9,0.875,–,–,–,–,–,–,–,–,–,18.7,168,–,–
C,C7X12.25,C7X12.25,F,12.25,3.59,7.00,7      ,–,–,2.19,2  1/4 ,–,–,0.314,  5/16,  3/16,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.525,–,0.538,0.257,–,–,5.98,18.0,–,–,24.2,8.46,6.92,2.59,1.16,1.42,0.696,0.568,–,–,–,0.161,11.2,–,4.44,1.09,0.793,0.406,2.28,4.20,2.86,0.862,–,–,–,–,–,–,–,–,–,0.722,6.63,–,–,C180X18.2,C180X18.2,18.2,2320,178,178,–,–,55.6,57.2,–,–,7.98,7.94,4.76,9.30,9.52,–,–,–,22.2,22.2,–,13.3,–,13.7,6.53,–,–,5.98,18.0,–,–,10.1,139,113,65.8,0.483,23.3,11.4,14.4,–,–,–,67.0,3.01,–,2860,0.454,0.330,0.169,37.4,68.8,72.6,0.862,–,–,–,–,–,–,–,–,–,18.3,168,–,–
C,C7X9.8,C7X9.8,F,9.80,2.87,7.00,7      ,–,–,2.09,2  1/8 ,–,–,0.210,  3/16,  1/8 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.541,–,0.647,0.205,–,–,5.71,26.9,–,–,21.2,7.19,6.07,2.72,0.957,1.26,0.617,0.578,–,–,–,0.0996,9.15,–,4.09,0.922,0.58,0.289,2.28,3.57,3.02,0.845,–,–,–,–,–,–,–,–,–,0.698,6.63,–,–,C180X14.6,C180X14.6,14.6,1850,178,178,–,–,53.1,54.0,–,–,5.33,4.76,3.18,9.30,9.52,–,–,–,22.2,22.2,–,13.7,–,16.4,5.21,–,–,5.71,26.9,–,–,8.82,118,99.5,69.1,0.398,20.6,10.1,14.7,–,–,–,41.5,2.46,–,2640,0.384,0.241,0.120,37.4,58.5,76.7,0.845,–,–,–,–,–,–,–,–,–,17.7,168,–,–
C,C6X13,C6X13,F,13.0,3.82,6.00,6      ,–,–,2.16,2  1/8 ,–,–,0.437,  7/16,  1/4 ,0.343,  5/16,–,–,–,0.813, 13/16,–,0.514,–,0.380,0.318,–,–,6.30,11.0,–,–,17.3,7.29,5.78,2.13,1.05,1.35,0.638,0.524,–,–,–,0.237,7.19,–,3.80,0.875,0.702,0.345,1.67,3.64,2.37,0.858,–,–,–,–,–,–,–,–,–,0.689,5.66,–,–,C150X19.3,C150X19.3,19.3,2460,152,152,–,–,54.9,54.0,–,–,11.1,11.1,6.35,8.71,7.94,–,–,–,20.7,20.6,–,13.1,–,9.65,8.08,–,–,6.30,11.0,–,–,7.20,119,94.7,54.1,0.437,22.1,10.5,13.3,–,–,–,98.6,1.93,–,2450,0.364,0.292,0.144,27.4,59.6,60.2,0.858,–,–,–,–,–,–,–,–,–,17.5,144,–,–
C,C6X10.5,C6X10.5,F,10.5,3.07,6.00,6      ,–,–,2.03,2      ,–,–,0.314,  5/16,  3/16,0.343,  5/16,–,–,–,0.813, 13/16,–,0.500,–,0.486,0.256,–,–,5.92,15.3,–,–,15.1,6.18,5.04,2.22,0.860,1.14,0.561,0.529,–,–,–,0.128,5.91,–,3.48,0.734,0.534,0.275,1.66,3.08,2.48,0.842,–,–,–,–,–,–,–,–,–,0.669,5.66,–,–,C150X15.6,C150X15.6,15.6,1980,152,152,–,–,51.6,50.8,–,–,7.98,7.94,4.76,8.71,7.94,–,–,–,20.7,20.6,–,12.7,–,12.3,6.50,–,–,5.92,15.3,–,–,6.29,101,82.6,56.4,0.358,18.7,9.19,13.4,–,–,–,53.3,1.59,–,2250,0.306,0.222,0.114,27.2,50.5,63.0,0.842,–,–,–,–,–,–,–,–,–,17.0,144,–,–
C,C6X8.2,C6X8.2,F,8.20,2.39,6.00,6      ,–,–,1.92,1  7/8 ,–,–,0.200,  3/16,  1/8 ,0.343,  5/16,–,–,–,0.813, 13/16,–,0.512,–,0.599,0.199,–,–,5.60,24.1,–,–,13.1,5.16,4.35,2.34,0.687,0.987,0.488,0.536,–,–,–,0.0736,4.70,–,3.17,0.610,0.373,0.187,1.67,2.57,2.65,0.824,–,–,–,–,–,–,–,–,–,0.643,5.66,–,–,C150X12.2,C150X12.2,12.2,1540,152,152,–,–,48.8,47.6,–,–,5.08,4.76,3.18,8.71,7.94,–,–,–,20.7,20.6,–,13.0,–,15.2,5.05,–,–,5.60,24.1,–,–,5.45,84.6,71.3,59.4,0.286,16.2,8.00,13.6,–,–,–,30.6,1.26,–,2050,0.254,0.155,0.0778,27.4,42.1,67.3,0.824,–,–,–,–,–,–,–,–,–,16.3,144,–,–
C,C5X9,C5X9,F,9.00,2.64,5.00,5      ,–,–,1.89,1  7/8 ,–,–,0.325,  5/16,  3/16,0.320,  5/16,–,–,–,0.750,  3/4 ,–,0.478,–,0.427,0.264,–,–,5.91,11.7,–,–,8.89,4.39,3.56,1.84,0.624,0.913,0.444,0.486,–,–,–,0.109,2.93,–,2.66,0.485,0.355,0.170,1.17,2.19,2.10,0.815,–,–,–,–,–,–,–,–,–,0.616,4.68,–,–,C130X13,C130X13,13.0,1700,127,127,–,–,48.0,47.6,–,–,8.26,7.94,4.76,8.13,7.94,–,–,–,19.1,19.1,–,12.1,–,10.8,6.71,–,–,5.91,11.7,–,–,3.70,71.9,58.3,46.7,0.260,15.0,7.28,12.3,–,–,–,45.4,0.787,–,1720,0.202,0.148,0.0708,19.2,35.9,53.3,0.815,–,–,–,–,–,–,–,–,–,15.6,119,–,–
C,C5X6.7,C5X6.7,F,6.70,1.97,5.00,5      ,–,–,1.75,1  3/4 ,–,–,0.190,  3/16,  1/8 ,0.320,  5/16,–,–,–,0.750,  3/4 ,–,0.484,–,0.552,0.215,–,–,5.47,20.0,–,–,7.48,3.55,2.99,1.95,0.470,0.757,0.372,0.489,–,–,–,0.0549,2.22,–,2.36,0.380,0.224,0.113,1.17,1.76,2.26,0.790,–,–,–,–,–,–,–,–,–,0.584,4.68,–,–,C130X10.4,C130X10.4,10.4,1270,127,127,–,–,44.5,44.4,–,–,4.83,4.76,3.18,8.13,7.94,–,–,–,19.1,19.1,–,12.3,–,14.0,5.46,–,–,5.47,20.0,–,–,3.11,58.2,49.0,49.5,0.196,12.4,6.10,12.4,–,–,–,22.9,0.596,–,1520,0.158,0.0932,0.0470,19.2,28.8,57.4,0.790,–,–,–,–,–,–,–,–,–,14.8,119,–,–
C,C4X7.25,C4X7.25,F,7.25,2.13,4.00,4      ,–,–,1.72,1  3/4 ,–,–,0.321,  5/16,  3/16,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.459,–,0.386,0.266,–,–,5.81,8.90,–,–,4.58,2.84,2.29,1.47,0.425,0.695,0.337,0.447,–,–,–,0.0817,1.24,–,1.88,0.281,0.199,0.101,0.767,1.41,1.75,0.767,–,–,–,–,–,–,–,–,–,0.563,3.70,–,–,C100X10.8,C100X10.8,10.8,1370,102,102,–,–,43.7,44.4,–,–,8.15,7.94,4.76,7.52,7.94,–,–,–,19.1,19.1,–,11.7,–,9.80,6.76,–,–,5.81,8.90,–,–,1.91,46.5,37.5,37.3,0.177,11.4,5.52,11.4,–,–,–,34.0,0.333,–,1210,0.117,0.0828,0.0420,12.6,23.1,44.5,0.767,–,–,–,–,–,–,–,–,–,14.3,94.0,–,–
C,C4X6.25,C4X6.25,F,6.25,1.77,4.00,4      ,–,–,1.65,1  3/4 ,–,–,0.247,  1/4 ,  1/8 ,0.272,  5/16,–,–,–,0.750,  3/4 ,–,0.435,–,0.434,0.221,–,–,6.07,11.7,–,–,4.00,2.43,2.00,1.50,0.345,0.569,0.284,0.441,–,–,–,0.0487,1.03,–,1.81,0.238,0.159,0.0805,0.711,1.21,1.79,0.764,–,–,–,–,–,–,–,–,–,0.546,3.73,–,–,C100X9.3,C100X9.3,9.3,1140,102,102,–,–,41.91,44.4,–,–,6.2738,6.35,3.18,6.91,7.94,–,–,–,19.1,19.1,–,11.0,–,11.0,5.61,–,–,6.07,11.7,–,–,1.66,39.8,32.8,38.1,0.144,9.32,4.65,11.2,–,–,–,20.3,0.277,–,1170,0.0991,0.0662,0.0335,11.7,19.8,45.5,0.764,–,–,–,–,–,–,–,–,–,13.9,94.7,–,–
C,C4X5.4,C4X5.4,F,5.40,1.58,4.00,4      ,–,–,1.58,1  5/8 ,–,–,0.184,  3/16,  1/8 ,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.457,–,0.501,0.231,–,–,5.34,15.5,–,–,3.85,2.29,1.92,1.56,0.312,0.565,0.277,0.444,–,–,–,0.0399,0.921,–,1.66,0.219,0.123,0.0637,0.765,1.13,1.88,0.742,–,–,–,–,–,–,–,–,–,0.528,3.70,–,–,C100X8,C100X8,8.00,1020,102,102,–,–,40.1,41.3,–,–,4.67,4.76,3.18,7.52,7.94,–,–,–,19.1,19.1,–,11.6,–,12.7,5.87,–,–,5.34,15.5,–,–,1.60,37.5,31.5,39.6,0.130,9.26,4.54,11.3,–,–,–,16.6,0.247,–,1070,0.0912,0.0512,0.0265,12.5,18.5,47.8,0.742,–,–,–,–,–,–,–,–,–,13.4,94.0,–,–
C,C4X4.5,C4X4.5,F,4.50,1.38,4.00,4      ,–,–,1.58,1  5/8 ,–,–,0.125,  1/8 ,  1/16,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.493,–,0.587,0.321,–,–,5.34,22.8,–,–,3.65,2.12,1.83,1.63,0.289,0.531,0.265,0.457,–,–,–,0.0322,0.871,–,1.61,0.206,0.0908,0.0481,0.798,1.05,2.01,0.710,–,–,–,–,–,–,–,–,–,0.524,3.70,–,–,C100X6.7,C100X6.7,6.70,890,102,102,–,–,40.1,41.3,–,–,3.18,3.18,1.59,7.52,7.94,–,–,–,19.1,19.1,–,12.5,–,14.9,8.15,–,–,5.34,22.8,–,–,1.52,34.7,30.0,41.4,0.120,8.70,4.34,11.6,–,–,–,13.4,0.234,–,1040,0.0857,0.0378,0.0199,13.1,17.2,51.1,0.710,–,–,–,–,–,–,–,–,–,13.3,94.0,–,–
C,C3X6,C3X6,F,6.00,1.76,3.00,3      ,–,–,1.60,1  5/8 ,–,–,0.356,  3/8 ,  3/16,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.455,–,0.322,0.294,–,–,5.86,5.38,–,–,2.07,1.74,1.38,1.09,0.300,0.543,0.263,0.413,–,–,–,0.0725,0.462,–,1.26,0.158,0.112,0.0538,0.463,0.864,1.40,0.690,–,–,–,–,–,–,–,–,–,0.519,2.73,–,–,C75X8.9,C75X8.9,8.90,1140,76.2,76.2,–,–,40.6,41.3,–,–,9.04,9.52,4.76,6.93,6.35,–,–,–,17.5,17.5,–,11.6,–,8.18,7.47,–,–,5.86,5.38,–,–,0.862,28.5,22.6,27.7,0.125,8.90,4.31,10.5,–,–,–,30.2,0.124,–,813,0.0658,0.0466,0.0224,7.59,14.2,35.6,0.690,–,–,–,–,–,–,–,–,–,13.2,69.3,–,–
C,C3X5,C3X5,F,5.00,1.47,3.00,3      ,–,–,1.50,1  1/2 ,–,–,0.258,  1/4 ,  1/8 ,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.439,–,0.392,0.245,–,–,5.49,7.42,–,–,1.85,1.52,1.23,1.12,0.241,0.464,0.228,0.405,–,–,–,0.0425,0.379,–,1.16,0.135,0.0840,0.0412,0.462,0.753,1.45,0.673,–,–,–,–,–,–,–,–,–,0.496,2.73,–,–,C75X7.4,C75X7.4,7.40,948,76.2,76.2,–,–,38.1,38.1,–,–,6.55,6.35,3.18,6.93,6.35,–,–,–,17.5,17.5,–,11.2,–,9.96,6.22,–,–,5.49,7.42,–,–,0.770,24.9,20.2,28.4,0.100,7.60,3.74,10.3,–,–,–,17.7,0.102,–,748,0.0562,0.0350,0.0171,7.57,12.3,36.8,0.673,–,–,–,–,–,–,–,–,–,12.6,69.3,–,–
C,C3X4.1,C3X4.1,F,4.10,1.20,3.00,3      ,–,–,1.41,1  3/8 ,–,–,0.170,  3/16,  1/8 ,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.437,–,0.461,0.262,–,–,5.16,11.3,–,–,1.65,1.32,1.10,1.18,0.191,0.399,0.196,0.398,–,–,–,0.0269,0.307,–,1.06,0.113,0.0575,0.0290,0.462,0.653,1.53,0.655,–,–,–,–,–,–,–,–,–,0.469,2.73,–,–,C75X6.1,C75X6.1,6.10,774,76.2,76.2,–,–,35.8,34.9,–,–,4.32,4.76,3.18,6.93,6.35,–,–,–,17.5,17.5,–,11.1,–,11.7,6.65,–,–,5.16,11.3,–,–,0.687,21.6,18.0,30.0,0.0795,6.54,3.21,10.1,–,–,–,11.2,0.0824,–,684,0.0470,0.0239,0.0121,7.57,10.7,38.9,0.655,–,–,–,–,–,–,–,–,–,11.9,69.3,–,–
C,C3X3.5,C3X3.5,F,3.50,1.09,3.00,3      ,–,–,1.37,1  3/8 ,–,–,0.132,  1/8 ,  1/16,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.443,–,0.493,0.296,–,–,5.02,14.5,–,–,1.57,1.24,1.04,1.20,0.169,0.364,0.182,0.394,–,–,–,0.0226,0.276,–,1.02,0.103,0.0452,0.0235,0.461,0.609,1.57,0.646,–,–,–,–,–,–,–,–,–,0.456,2.73,–,–,C75X5.2,C75X5.2,5.20,703,76.2,76.2,–,–,34.8,34.9,–,–,3.35,3.18,1.59,6.93,6.35,–,–,–,17.5,17.5,–,11.3,–,12.5,7.52,–,–,5.02,14.5,–,–,0.653,20.3,17.0,30.5,0.0703,5.96,2.98,10.0,–,–,–,9.41,0.0741,–,658,0.0429,0.0188,0.00978,7.55,9.98,39.9,0.646,–,–,–,–,–,–,–,–,–,11.6,69.3,–,–
